강준현,민병덕,대응 정도,주요 차이 및 해설
매매·교환업,매매업,완전일치,자기 계산으로 매매‧교환(및 권유·청약 등)을 영업
중개업,중개업,완전일치,타인 계산으로 매매를 중개·권유·청약·승낙
보관·관리업,보관업,부분일치,강준현안은 ‘관리’까지 포함
지급·이전업,다양,부분일치,결제 정산·주소 간 전송 기능을 독립 업종으로 규정 여부
일임업,일임업,완전일치,민병덕안은 재산상태 등을 고려하도록 요건을 구체화.
집합운용업,집합관리업,부분일치,민병덕안은 대여·처분 권한이 있는 경우 등을 제외
대여업,다양,대응없음,"민병덕안에서는 매매업, 중개업, 보관업자는 신용공여를
허용하고 있어, 대여업 운영 가능함"
자문업,자문업,완전일치,민병덕안이 판단 요소를 세분화
"매매·교환
대행업",주문전송업,부분일치,강준현안은 주선·알선·대행까지 포괄
(없음),지갑관리업,대응없음,지갑의 접근·관리를 위임받거나 접속장치를 제공
(없음),유사자문업,대응없음,불특정 다수 대상의 비개별적 조언을 규정하는 업종
(없음),기타,대응없음,민병덕안은 잔여 범주
